;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
1625;23685327;Ford;Focus;1.5 TDCi Titanium;2018;121.000 km;Otomatik;Dizel;Station wagon;Gri (titanyum);1500 cc;120 hp;Önden Çekiş;4,3 lt;47 lt;Tamamı orjinal;1.050.000
1626;23684821;Ford;B-Max;1.5 TDCi Trend;2012;196.500 km;Düz;Dizel;MPV;Gri;1498 cc;75 hp;Önden Çekiş;4,1 lt;48 lt;2 değişen;560.000
1627;23684502;Ford;Focus;1.6 TDCi Trend;2012;151.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;3 boyalı;650.000
1628;23684615;Ford;Focus;1.6 TDCi Trend X;2015;178.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,5 lt;53 lt;3 boyalı;740.000
1629;19413897;Ford;Focus;1.6 TDCi Trend X;2013;178.999 km;Düz;Dizel;Station wagon;Beyaz;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;Tamamı orjinal;715.000
1630;23684464;Ford;Fiesta;1.5 TDCi Titanium X;2013;125.000 km;Düz;Dizel;Hatchback/5;Kırmızı;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;Tamamı orjinal;655.000
1631;23684345;Ford;Focus;1.6 Ti-VCT Titanium;2015;222.000 km;Düz;Benzin;Hatchback/5;Beyaz;1596 cc;125 hp;Önden Çekiş;5,9 lt;55 lt;1 değişen;780.000
1632;23686166;Ford;Focus;1.6 TDCi Style;2013;342.000 km;Düz;Dizel;Sedan;Gri (Gümüş);1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;Tamamı orjinal;650.000
1633;23540141;Ford;Fiesta;1.4 TDCi Trend;2012;95.000 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;Belirtilmemiş;500.000
1634;23533999;Ford;C-Max;1.6 TDCi Titanium;2013;176.000 km;Düz;Dizel;MPV;Gri (metalik);1560 cc;115 hp;Önden Çekiş;4,6 lt;53 lt;Belirtilmemiş;645.000
1635;23533817;Ford;Fiesta;1.1 Style;2023;6.001 km;Düz;Benzin;Hatchback/5;Beyaz;1084 cc;75 hp;Önden Çekiş;5,3 lt;42 lt;Tamamı orjinal;780.000
1636;22812996;Ford;Focus;1.6 TDCi Collection;2010;345.000 km;Düz;Dizel;Sedan;Gri (Gümüş);1560 cc;90 hp;Önden Çekiş;4,7 lt;55 lt;2 değişen, 4 boyalı;478.800
1637;23533379;Ford;Focus;1.6 TDCi Trend X;2015;235.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,5 lt;53 lt;2 boyalı;680.000
1638;23532243;Ford;Focus;1.6 TDCi Trend X;2013;180.000 km;Düz;Dizel;Hatchback/5;Gri;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;1 değişen;718.000
1639;22847614;Ford;Fiesta;1.5 TDCi Titanium X;2013;150.000 km;Düz;Dizel;Hatchback/5;Gri (titanyum);1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;2 değişen, 2 boyalı;610.000
1640;22845227;Ford;Focus;1.6 TDCi Style;2012;230.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;2 değişen, 5 boyalı;600.000
1641;22513167;Ford;Fiesta;1.5 TDCi Titanium X;2016;61.000 km;Düz;Dizel;Hatchback/5;Beyaz;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;Tamamı orjinal;755.500
1642;23313213;Ford;Focus;1.6 TDCi Comfort;2012;232.000 km;Düz;Dizel;Sedan;Siyah;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;2 değişen, 2 boyalı;585.000
1644;23683836;Ford;C-Max;1.6 TDCi Titanium X;2013;153.000 km;Düz;Dizel;MPV;Beyaz;1560 cc;115 hp;Önden Çekiş;4,6 lt;53 lt;1 değişen;765.000
1645;23683828;Ford;Fiesta;1.4 TDCi My Fiesta;2011;345.000 km;Düz;Dizel;Hatchback/5;Beyaz;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;Belirtilmemiş;419.000
1646;23683652;Ford;Focus;1.6 TDCi Trend X;2013;108.600 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;2 boyalı;680.000
1647;23683694;Ford;Fiesta;1.25 Trend;2013;79.300 km;Düz;Benzin;Hatchback/3;Beyaz;1242 cc;82 hp;Önden Çekiş;5,2 lt;42 lt;1 değişen;640.000
1648;23683621;Ford;Focus;1.5 TDCi Style;2015;182.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1499 cc;120 hp;Önden Çekiş;4,2 lt;55 lt;2 değişen, 1 boyalı;731.000
1649;23683619;Ford;Focus;1.5 TDCi Trend X;2019;159.000 km;Otomatik;Dizel;Sedan;Beyaz;1500 cc;120 hp;Önden Çekiş;4,3 lt;47 lt;Belirtilmemiş;980.000
1650;23683297;Ford;Focus;1.6 TDCi Style;2012;152.000 km;Düz;Dizel;Hatchback/5;Gri;1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;1 değişen;730.000
1651;23683560;Ford;Focus;1.6 TDCi Trend;2013;215.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;1 değişen, 1 boyalı;595.000
1652;23333032;Ford;Fiesta;1.4 TDCi Trend;2012;170.000 km;Düz;Dizel;Hatchback/5;Beyaz;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;1 değişen, 3 boyalı;505.000
1654;23683220;Ford;Focus;1.6 Ti-VCT Style Plus;2011;276.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1596 cc;125 hp;Önden Çekiş;5,9 lt;55 lt;2 boyalı;715.000
1655;23683062;Ford;Fiesta;1.6 Titanium;2015;83.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1596 cc;105 hp;Önden Çekiş;5,9 lt;42 lt;Belirtilmemiş;723.500
1656;23682793;Ford;Fiesta;1.5 TDCi Trend X;2015;124.000 km;Düz;Dizel;Hatchback/5;Beyaz;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;Tamamı orjinal;640.000
1657;23682818;Ford;Focus;1.6 TDCi Trend X;2014;143.000 km;Düz;Dizel;Hatchback/5;Beyaz;1560 cc;95 hp;Önden Çekiş;4,5 lt;55 lt;Belirtilmemiş;750.000
1658;23682846;Ford;Focus;1.6 Ti-VCT Titanium;2013;122.000 km;Yarı Otomatik;Benzin;Station wagon;Gri;1596 cc;125 hp;Önden Çekiş;6 lt;55 lt;2 boyalı;649.000
1659;23682724;Ford;Fiesta;1.5 TDCi Titanium;2013;110.000 km;Düz;Dizel;Hatchback/5;Kahverengi;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;1 boyalı;610.000
1660;23682649;Ford;Fiesta;1.25 Trend;2011;112.000 km;Düz;Benzin;Hatchback/5;Bordo;1242 cc;82 hp;Önden Çekiş;5,7 lt;42 lt;1 değişen, 1 boyalı;493.000
1661;23682448;Ford;Focus;1.6 Ti-VCT Trend X;2012;130.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1596 cc;125 hp;Önden Çekiş;5,9 lt;55 lt;1 değişen;679.000
1662;23682427;Ford;Fiesta;1.4 TDCi Titanium X;2012;194.000 km;Düz;Dizel;Hatchback/5;Bordo;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;1 değişen, 2 boyalı;569.000
1663;23682289;Ford;Focus;1.6 TDCi Collection;2011;265.000 km;Düz;Dizel;Hatchback/5;Gri;1560 cc;90 hp;Önden Çekiş;4,7 lt;55 lt;Tamamı orjinal;560.000
1665;23682078;Ford;Fiesta;1.5 TDCi Titanium X;2014;155.000 km;Düz;Dizel;Hatchback/5;Gri;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;2 değişen, 7 boyalı;510.000
1666;23681648;Ford;Mondeo;1.6 Titanium;2011;164.600 km;Düz;LPG & Benzin;Sedan;Beyaz;1596 cc;125 hp;Önden Çekiş;7,4 lt;70 lt;Belirtilmemiş;680.000
1667;23595566;Ford;Focus;1.5 TDCi Titanium;2016;162.444 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1499 cc;120 hp;Önden Çekiş;4,2 lt;55 lt;Belirtilmemiş;985.000
1669;23680681;Ford;Focus;1.6 TDCi Titanium;2013;122.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;Belirtilmemiş;775.000
1670;23679882;Ford;Focus;1.6 TDCi Style;2013;204.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;1 değişen, 1 boyalı;699.000
1671;23679822;Ford;Fiesta;1.0 Titanium;2017;100.000 km;Yarı Otomatik;Benzin;Hatchback/5;Gri (titanyum);998 cc;100 hp;Önden Çekiş;5,2 lt;42 lt;2 değişen, 2 boyalı;715.000
1672;23680576;Ford;Fiesta;1.5 TDCi Trend;2014;104.000 km;Düz;Dizel;Hatchback/5;Beyaz;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;2 değişen;560.000
1673;23681543;Ford;Fiesta;1.5 TDCi Titanium;2013;235.000 km;Düz;Dizel;Hatchback/5;Siyah;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;2 değişen, 2 boyalı;475.000
1674;23680642;Ford;Fiesta;1.4 TDCi Trend;2012;121.000 km;Düz;Dizel;Hatchback/5;Gri;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;3 boyalı;510.000
1675;23681356;Ford;Fiesta;1.5 TDCi Titanium;2015;112.000 km;Düz;Dizel;Hatchback/5;Beyaz;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;Belirtilmemiş;660.000
1676;23681139;Ford;Focus;1.6 TDCi Trend X;2014;169.800 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;3 değişen, 1 boyalı;699.900
1677;23578517;Ford;Focus;1.6 Trend X;2010;297.000 km;Otomatik;LPG & Benzin;Station wagon;Beyaz;1596 cc;100 hp;Önden Çekiş;6,7 lt;55 lt;Belirtilmemiş;537.000
1678;23681106;Ford;Focus;1.6 TDCi Style;2014;188.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;Tamamı orjinal;755.000
1680;23681673;Ford;Focus;1.6 TDCi Style;2013;220.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;Belirtilmemiş;700.000
1681;23681495;Ford;Focus;1.6 Comfort;2011;175.000 km;Otomatik;LPG & Benzin;Hatchback/5;Siyah;1596 cc;100 hp;Önden Çekiş;6,7 lt;55 lt;Belirtilmemiş;515.000
1682;23681273;Ford;Fiesta;1.4 TDCi Titanium;2010;301.000 km;Düz;Dizel;Hatchback/5;Kırmızı;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;5 değişen, 8 boyalı;455.000
